"data.hotel.1.","service","buss_service","clean","frontdesk","value","rooms","location","sleep"
"1","594629",0.512466703327679,0.188982236504614,0.52339736834914,0.56360393405373,0.822595613070556,0.569138181139492,0.419878466923316,NA
"1","231527",0.845379853700796,0.749268649265355,0.725130974419474,0.896421457000795,0.810118369553931,0.846145638359351,0.494153329583574,0.682323045405921
"1","549750",0.624406033247533,0.755928946018454,0.679156014685722,0.587974732207334,0.669491594624004,0.77225152431973,0.47789228409198,0.758722148899419
"1","202453",0.466572307032595,-0.333333333333333,0.426307997306809,-0.74535599249993,0.688208341995924,0.611132331352141,0.326824106082704,0.394602593626235
"1","126507",0.663776916819551,0.527359901403648,0.631895343581259,0.258426966292135,0.63241601885347,0.709127075806101,0.571337050542643,0.718479950880364
"1","622554",0.536689818491534,NA,0.699467735726443,NA,0.727274703125094,0.671810176247901,0.304211098397517,0.449345081102488
"1","84296",0.893868697538654,1,0.769800358919501,0.928571428571428,0.762442575751565,0.68936456201449,0.509312822405069,0.784464540552736
"1","585204",0.54192588351575,0.324141090956585,0.425905468610895,0.644734102013073,0.458756057172486,0.504742558151614,0.464307884069194,NA
"1","248939",0.498632574657659,0.566745386770772,0.457787001705526,0.432166260561461,0.674918828971591,0.51863923442601,0.608487500236198,NA
"1","276043",0.659323584802822,0.404577389939339,0.500658209972531,0.642485595855054,0.501472758395594,0.699551162965009,0.341561936426907,0.480458999887661
"1","506490",0.610212773348675,0.348534876278043,0.63155244620084,0.536422268209896,0.688389386918548,0.654456772979458,0.410883619200541,0.629331583365203
"1","2514842",0.749872226537085,-0.142857142857143,0.440567110531401,1,0.404822567757318,0.0883570475490161,-0.057073014553535,0.440191387559809
"1","505109",0.760710494158064,0.808290376865476,0.581499409487073,0.42966892442366,0.813391391922066,0.791998387636744,0.549180327868852,0.725226668756515
"1","290558",0.755609651834825,-0.577350269189626,0.523138836662164,0.554700196225229,0.820665205373266,0.793856620135735,0.481125224324688,NA
"1","502338",0.751830257235455,0.292682926829268,0.792393977773683,0.738101746957684,0.810797331448675,0.865839576492865,0.596028670951306,0.782335779211898
"1","207566",0.680544220678111,NA,0.339693369028548,-1,0.656890193389946,0.585632796226401,0.293495485466527,0.521812561217385
"1","80912",0.658079278910669,0.543004099117739,0.52582701462308,0.51562037434486,0.703342239813082,0.595940210827361,0.397633306556816,NA
"1","590449",0.755928946018454,NA,0.755928946018454,0.577350269189626,1,0.755928946018454,0,NA
"1","656431",0.681937322987801,0.470950504966934,0.629399411956842,0.625592914873626,0.510657477131973,0.658701921071446,0.533023865793788,0.708829879079569
"1","74805",0.722315118514615,0.333333333333333,0.768363579552409,0.91003151038658,0.80775869427095,0.748402672434138,0.458682472293863,0.620173672946042
"1","529605",0.516527637653883,0.314269680527354,0.529879747130515,0.364973226546115,0.608848147460054,0.514574067934097,0.612260761288154,0.537745892501161
"1","206979",0.571439594249946,NA,0.621129993749942,NA,0.884984650702101,0.606932736749943,0.723746864455746,0.734968415259167
"1","238570",0.494667705430912,0.774596669241483,0.494949006252261,0.5,0.398640389249893,0.638437235923498,0.489825552924606,0.589705345905009
"1","2515920",0.635979350390975,0.469665922796841,0.649531365948241,0.527390710383731,0.5829096681499,0.683117117799329,0.431879475833414,0.524532186392632
"1","2515114",0.625874686103548,0.692469669775643,0.533740153996592,0.711659994885488,0.655696679758055,0.668093390200907,0.331926467218244,0.652354076205469
"1","99365",0.724565481814645,0.652875792825646,0.656383896084981,0.643761398722792,0.75211362627439,0.748770731024741,0.451807688791324,0.645566034646977
"1","2515154",0.684672743321531,0.478148032648406,0.748222087821991,0.603924463223751,0.749089749565989,0.779768538295041,0.349149158735448,0.651360120071114
"1","228615",0.645930288785977,0.158776837207489,0.505545991506473,0.605306256333634,0.786108434862881,0.787479747673456,0.432537906394631,0.635394402121661
